User_ID,Email,Phone_Number,Account_Creation_Date,Billing_Address,Shipping_Address,IP_Address_Changed,New_Device,Odd_Time_of_Transaction,Unusual_Cart_Value,Multiple_Failed_OTPs,VPN_Use,First_Time_High_Value_Purchase,Email_Pattern,Shipping_Address_Changed,Previous_Failed_Attempts,Is_Fraud,User_Agent,Browser_Name,Browser_Version,OS,Installed_Plugins,Time_Zone,Screen_Resolution,Language,Do_Not_Track,fingerprint_id
buykart_user_00655,stacygarrett@example.net,(487)270-5266,2021-03-07,"2500 Lynch Expressway, Monicaland, CT 81477","907 Lisa Trail Apt. 641, East Patriciaberg, FM 96344",0,0,0,0,0,0,0,normal,0,2,0,Firefox/75.0.9632 (iOS),Firefox,75.0.9632,iOS,QuickTime,UTC+9,1536x864,en-GB,0,9e209fe3435b8a0ab5c79c58cd81a626b882e7a1edbbaf28f623cab41e2c5a59
buykart_user_02319,paigerodriguez@example.com,+1-887-604-6759,2025-01-06,"14031 Lauren Hollow, Nicholasmouth, OK 04296","996 Cisneros Mission Suite 717, New Stephaniemouth, FM 19944",0,0,0,0,4,0,0,normal,0,3,0,Chrome/74.0.9362 (iOS),Chrome,74.0.9362,iOS,Flash,UTC-3,1366x768,es-ES,0,72146ffc8d5c7365a89fc63b4641a250353166c00e777584f1582e9983872a3f
user_00410,reesethomas@example.org,001-748-428-8270x510,2022-06-17,"37996 Caleb Passage, New Stevenport, OH 12994","40875 Zachary Valleys, New Brianmouth, PW 82658",1,0,0,0,1,0,0,normal,0,3,0,Chrome/69.0.9922 (MacOS),Chrome,69.0.9922,MacOS,Java,UTC-8,1440x900,en-GB,0,ff4136539620a9fb2bf3850a502128c75ffeaa1e89fdf159c25fa745e8495f75
buykart_user_00617,yshepherd@example.org,382.761.1353x86360,2024-10-11,"97916 Lindsay Key Apt. 294, Caitlinland, IL 53839","40798 Jared Gateway, Lake Josephberg, ME 17488",0,0,0,0,1,0,0,normal,0,0,0,Safari/86.0.6826 (iOS),Safari,86.0.6826,iOS,Flash,UTC+9,1920x1080,de-DE,0,7bf5c43d035a458bfb0ff0abf8f300871d8a98b4ab9756e9c663d76e685381ea
buykart_user_01373,taylordana@example.net,(392)949-7981x6929,2022-02-06,"307 Gloria Dale, Timothyfort, FM 99184","37945 Henry Drive, Coryfort, AL 09132",0,0,0,0,1,0,0,normal,0,1,0,Safari/79.0.5918 (Android),Safari,79.0.5918,Android,QuickTime,UTC-8,1536x864,de-DE,1,15098ce3b9a476ae99edf31f699d799f10112fd9e4b7257469ec33706732d875
buykart_user_04323,qpierce@example.com,(379)845-9060x015,2020-08-29,"PSC 2593, Box 3604, APO AA 00908","63398 Nathan Island Apt. 209, Taylorton, MT 88178",0,1,0,0,1,0,0,normal,0,3,0,Chrome/97.0.1185 (Android),Chrome,97.0.1185,Android,Flash,UTC+1,1920x1080,en-GB,0,bd90ec6c41577c6ea6bd972f5bbfabb45e42a6c3d02488a613b0ac7554c89d20
buykart_user_02073,megan26@example.com,+1-538-597-9559,2020-11-03,"18882 George Cliffs, Griffinland, NV 36468","Unit 3719 Box 4409, DPO AP 10438",0,0,1,0,0,0,0,normal,0,0,0,Chrome/75.0.8687 (Windows 10),Chrome,75.0.8687,Windows 10,Java,UTC-8,1366x768,fr-FR,1,f430d6f46260023c9b06ad7cc38d8ed6a1fd5481d4bbcdb93555ccc152d7d6f1
buykart_user_00788,suzanne95@example.net,+1-231-814-7289x16527,2021-11-04,"58492 Thomas Fork, New Kaylaburgh, AZ 20637","21378 Malik Avenue Suite 722, Morrisonmouth, CT 15027",0,0,0,0,3,0,1,normal,0,0,0,Edge/89.0.9346 (Windows 11),Edge,89.0.9346,Windows 11,QuickTime,UTC+1,1920x1080,en-US,0,56331530d500de401ae5f58c914129dc23767888668d852adab107aed7882294
buykart_user_04453,wheelerjeffery@example.com,001-816-344-4127,2025-03-24,"8191 Lambert Mall, Lake Kimberly, DC 13106","32809 Holland Trail Apt. 784, Roweview, AK 45055",0,0,0,0,4,0,0,normal,0,1,0,Safari/106.0.8362 (Windows 11),Safari,106.0.8362,Windows 11,PDF Viewer,UTC+1,1366x768,es-ES,1,397d129038818a152851d099dbf824b81c557db414054e2f3c976075a9a6db5f
buykart_user_00940,jerome51@example.org,(471)530-3005x0810,2024-01-07,"49617 Adrienne Villages, East Jake, VT 05318","Unit 2804 Box 5070, DPO AA 24269",0,0,0,0,4,1,0,normal,0,3,1,Edge/106.0.8586 (Windows 11),Edge,106.0.8586,Windows 11,Java,UTC+1,1920x1080,fr-FR,1,137a26b7cff82d5823f021550bdc9e63f1ebdd7bd1dccd98334db9cfa9576839
