User_ID,Email,Phone_Number,Account_Creation_Date,Billing_Address,Shipping_Address,IP_Address_Changed,New_Device,Odd_Time_of_Transaction,Unusual_Cart_Value,Multiple_Failed_OTPs,VPN_Use,First_Time_High_Value_Purchase,Email_Pattern,Shipping_Address_Changed,Previous_Failed_Attempts,Is_Fraud,User_Agent,Browser_Name,Browser_Version,OS,Installed_Plugins,Time_Zone,Screen_Resolution,Language,Do_Not_Track,fingerprint_id
ecomplus_user_00924,burkegerald@example.net,001-612-467-4021x8110,2022-05-03,"USCGC Rogers, FPO AA 96503","902 Alvarez Walk Apt. 034, West Johnborough, NJ 30300",0,0,0,0,0,0,0,normal,0,3,0,Chrome/90.0.9102 (Linux),Chrome,90.0.9102,Linux,PDF Viewer,UTC-8,1440x900,fr-FR,1,343988da2bf7875750b1ffd8e2ef7920e4a1fa89574d319e17bc2a605a174edf
user_00383,ucook@example.com,+1-676-425-8816,2022-05-06,"45273 Taylor Crossing, Port Jasonton, UT 90046","4013 Ryan Islands Apt. 716, Berryfurt, NC 94614",0,0,0,0,4,0,0,normal,0,0,0,Edge/98.0.8443 (Android),Edge,98.0.8443,Android,,UTC+5:30,1280x720,fr-FR,0,09bfd5ac24b9f32e9fcea3017b630adc72dc66b847d23416206002e364ba7d26
ecomplus_user_02149,mary34@example.net,001-792-256-9478x18821,2025-03-16,"45089 Wesley Fords, Harrisshire, DE 55838","9383 Miller Lane Suite 950, West Curtisland, LA 68467",0,0,0,0,3,0,0,normal,0,0,0,Firefox/63.0.8883 (Linux),Firefox,63.0.8883,Linux,,UTC+5:30,1440x900,es-ES,0,303a1b539b881e50a04943a823deb9ef4a2cd7eedd829f08312229e693263b34
ecomplus_user_01211,jonathanterry@example.com,709.645.2447,2025-04-13,"4025 Smith Walk Suite 545, Dennisstad, TX 62198","02867 Linda Parkways, Kurtmouth, MI 99518",0,0,0,0,2,0,0,normal,0,2,0,Firefox/85.0.6485 (Windows 11),Firefox,85.0.6485,Windows 11,Flash,UTC-3,1280x720,en-US,0,4c5f6960b7808d3a007570e6acc5c831ec7ecb389211f8cd8f4f2afce62b64ff
ecomplus_user_00837,qscott@example.net,001-521-653-9851,2020-09-11,"Unit 9278 Box 4949, DPO AE 12642","8384 Dunn Pine Apt. 363, Lake Jenniferland, SC 49081",0,0,0,0,2,0,0,suspicious,0,0,0,Edge/70.0.6271 (Windows 11),Edge,70.0.6271,Windows 11,,UTC,1440x900,en-GB,0,033e97efcb2895fbfc488255cf784142ce504aa6269cc1c0531981d3e5ece49c
ecomplus_user_01452,arussell@example.net,001-837-514-3049,2023-03-18,"76624 Jennifer Lakes Apt. 595, Lake Brittanyside, WA 41261","22125 Stewart Rest, Edwardsfort, MT 77127",0,0,0,0,3,0,0,normal,0,1,0,Opera/63.0.8773 (Linux),Opera,63.0.8773,Linux,QuickTime,UTC+1,1536x864,en-GB,0,d3f86fe447fb20aae2a98883eeb617579e1a93d433560805cec36c4da949981c
ecomplus_user_00432,xbrown@example.org,001-224-592-7241x935,2020-08-02,"82324 Jennifer Trail Suite 769, South Matthewview, IN 11074","74340 Victor Parks, Hardintown, MA 08761",0,0,1,1,3,0,0,normal,0,0,1,Chrome/102.0.5353 (Windows 10),Chrome,102.0.5353,Windows 10,Flash,UTC+1,1536x864,en-GB,1,a46cb427b47ca8260fdbc14d29f0e954939ea9d73214a7c34684fc61581aa50d
ecomplus_user_04325,mckayholly@example.net,532.716.8383,2021-06-24,"25423 Megan Motorway Apt. 802, Williamside, NC 85520","3535 Pena Court Apt. 322, South Jeremiah, WA 68702",0,0,0,1,2,0,0,normal,0,3,0,Chrome/82.0.8655 (MacOS),Chrome,82.0.8655,MacOS,PDF Viewer,UTC,1366x768,en-GB,0,5a05fdad56b500b02030c831d0bea74036621e85691e8f8d16e8e3e6463b620e
ecomplus_user_00544,robinwilliams@example.org,(256)475-4069,2022-03-15,"63074 Williams Avenue Apt. 236, Lake Ricardo, SC 22790","40695 Rogers Dale, North Holly, PA 60319",0,0,0,0,2,0,0,normal,0,0,0,Chrome/75.0.3212 (Android),Chrome,75.0.3212,Android,QuickTime,UTC-8,1366x768,en-US,0,bbfee6b15b06a5f38183fbd0c4dddcc518ea9aff6067b9629a92e6cf627ced23
ecomplus_user_00720,thomaschris@example.org,659.470.1780x793,2022-01-29,"100 Carlson Burg Suite 307, Brittanyberg, TX 14932","Unit 1740 Box 2586, DPO AP 52278",0,0,0,0,2,0,0,normal,1,0,0,Edge/107.0.3109 (iOS),Edge,107.0.3109,iOS,Java,UTC-3,1920x1080,en-US,0,3977d68e54033785dbf74f0ef397144cadb60c5d1b333ba98c91c5aba75b7542
ecomplus_user_02347,yfranklin@example.org,637.530.0960x731,2024-03-07,"9410 Dawn Station Apt. 933, Richardport, MN 71253","76468 Raymond Cliff, Steveland, TN 43975",0,0,0,0,0,0,0,normal,1,1,0,Safari/85.0.8849 (Windows 10),Safari,85.0.8849,Windows 10,Java,UTC-8,1536x864,fr-FR,1,bf0f869e65e0cc3032f928958f3c97bb0add4b636a795017457f7a38d67acdde
ecomplus_user_01007,zlewis@example.net,+1-509-233-5369x80491,2023-05-27,"03279 Sanders Ramp, Blairport, DC 86879","94854 Michael Dale Apt. 317, Flemingland, MO 97960",0,1,0,0,0,0,1,normal,0,0,0,Safari/68.0.7715 (MacOS),Safari,68.0.7715,MacOS,Java,UTC+5:30,1440x900,es-ES,0,5c64e1d9553b910d69fc255dd6bdbe42a110384af744e5f7680299239b12e08a
user_00214,isaacrodriguez@example.net,001-570-302-0878x282,2021-01-15,"78428 Monroe Crescent Suite 061, Garzaberg, PA 33513","107 Valerie Fort Apt. 379, Joshuastad, GU 80526",0,1,1,1,2,0,0,normal,0,1,1,Safari/85.0.7791 (iOS),Safari,85.0.7791,iOS,,UTC+9,1280x720,es-ES,0,698fddc36350040993f8ad6cb985c053f7795294dfaba8831baa32f2713c3fcc
ecomplus_user_03622,tanyabarrett@example.org,305-755-6464x81607,2022-05-20,"Unit 1576 Box 1663, DPO AA 18126","0479 Riddle Tunnel, Nicoleberg, DC 47495",0,0,0,1,3,0,0,normal,0,0,0,Opera/91.0.5016 (Windows 10),Opera,91.0.5016,Windows 10,,UTC-3,1366x768,fr-FR,0,717c77700baf3b61ecdc6e3a34fb8c064119d6a6cae84d4c8a372e62d7faf50e
ecomplus_user_00505,kimberly34@example.com,5047015464,2020-09-17,"469 Alexander Course Apt. 317, Williamsstad, CO 65637","84755 Alyssa Extensions, Port Jamiestad, NJ 44414",0,0,0,0,2,0,0,normal,0,2,0,Firefox/99.0.7457 (Linux),Firefox,99.0.7457,Linux,QuickTime,UTC+5:30,1440x900,en-US,1,23f2a5ce0cdf6dc083863766e21c5951be2f3827f8f92326dc74f062729bc3da
ecomplus_user_03331,william21@example.com,(764)623-3162x69490,2021-05-02,"90755 David Square Apt. 441, Haleyview, DC 43082","637 Flynn Route Apt. 871, East Adamfurt, NC 07123",0,0,0,0,2,0,0,normal,0,2,0,Opera/87.0.2314 (MacOS),Opera,87.0.2314,MacOS,,UTC,1536x864,en-GB,1,3edaf56c6f4c09508ef224fa11892262fc59f857dfbbcde73761c59e8d364123
ecomplus_user_00120,ramirezfelicia@example.org,(597)621-0129,2025-05-20,"83968 Thomas Village, Staceyview, GU 86994","381 Patricia Greens, Jeffreyberg, MT 80909",0,0,0,0,0,0,0,normal,0,0,0,Chrome/108.0.3656 (MacOS),Chrome,108.0.3656,MacOS,QuickTime,UTC+5:30,1536x864,de-DE,0,79ab88027de7fda59940ad164f09cfe64c4ea87e63f74fee77bbac774dd79776
ecomplus_user_00041,ericksonkevin@example.org,(767)549-6381x116,2023-06-02,"83479 Stephanie Route, West Stephaniefort, MD 41399","60405 Barton Haven, West Jamesberg, WA 41464",0,0,0,0,1,0,0,normal,0,2,0,Edge/64.0.2709 (Windows 11),Edge,64.0.2709,Windows 11,PDF Viewer,UTC+1,1536x864,es-ES,0,b2bf0930473b378cdad03d80b49b269611f2de79b1fd716ecee4eec738399716
ecomplus_user_04279,jasminjordan@example.org,+1-748-456-8564x9893,2021-08-20,"0100 Golden Mall, North Ruben, PR 73574","530 Lori Lodge Suite 197, Meltonstad, VA 78371",0,0,1,0,4,0,0,normal,0,0,0,Safari/78.0.7020 (Windows 11),Safari,78.0.7020,Windows 11,PDF Viewer,UTC-8,1280x720,fr-FR,0,a4f51cd154decb158c17a14e57adc10c3fe5164341960401e8d16d839f71fd04
ecomplus_user_01914,nparks@example.net,001-390-238-7301x6826,2023-07-16,"91203 Hill Station Suite 562, South Rachel, MT 65744","313 Michael Extensions, South Donna, VT 18423",0,0,0,0,2,1,0,normal,0,0,0,Safari/102.0.1003 (MacOS),Safari,102.0.1003,MacOS,,UTC-8,1536x864,en-GB,1,a3963bbe5c4ecc6bb33f43e86519226765f8d7ae132cd0e089092ceac0c83a0a
ecomplus_user_01075,megan05@example.net,353-596-8699x67508,2023-04-07,"46599 Vasquez Ranch, Lake Jessicastad, CT 92401","9996 Parker Mill Suite 400, North Alexandertown, MT 25938",0,1,0,0,0,0,0,suspicious,0,0,0,Opera/84.0.6703 (iOS),Opera,84.0.6703,iOS,Flash,UTC+9,1440x900,fr-FR,1,70d297138554a667857a19f1980c4eca747b4dcf872f35959c02308cbf780e82
ecomplus_user_02297,donaldanderson@example.net,+1-502-734-9090x66575,2024-01-21,"599 David Mount, Millerfurt, IL 55481","608 Wood Way, Aaronport, WV 75335",0,0,0,0,1,0,1,normal,0,0,0,Safari/72.0.2966 (iOS),Safari,72.0.2966,iOS,,UTC-8,1440x900,en-GB,0,413b6c26100269db9f108b8f460f9ce765dba7f65fa1b39445d945cb12a207c2
user_00054,patrickdunn@example.com,+1-885-530-8853,2022-02-05,"03724 Rodriguez Heights, South Savannah, IN 94936","436 Collier Ville Suite 421, East Stacytown, RI 27242",1,0,0,0,3,0,0,normal,1,3,1,Safari/103.0.1908 (Windows 10),Safari,103.0.1908,Windows 10,Flash,UTC-3,1366x768,de-DE,1,908fa8fe9b9763a24cc6947cefb5d78995f4ae49572118c0bd291ab49392eb01
ecomplus_user_01715,kelly56@example.com,001-346-342-4436,2023-11-10,"3760 Anderson Cliffs, Port Christopher, NC 60228","2600 Gregory Way, North Heather, WI 51553",0,0,0,0,2,0,0,normal,0,3,0,Firefox/68.0.3528 (iOS),Firefox,68.0.3528,iOS,,UTC+9,1366x768,en-US,1,09c0bb706c9405bfa3d056b3aa66ff005a14951a47c6405e39c54a86f01e13ba
ecomplus_user_03052,ashlee00@example.com,(875)514-8579,2024-11-15,"2153 Drake Mountains, Dawsonchester, MT 02896","2178 Yu Forge, New Pamelaport, NJ 12552",0,0,0,0,3,0,0,suspicious,0,3,1,Opera/84.0.1057 (Linux),Opera,84.0.1057,Linux,Flash,UTC+9,1366x768,de-DE,0,a53046936ac619d1afe6275537e468d6fb709f0181b7de9bfca2c480d89d4fb5
user_00399,mendezjoseph@example.net,532.389.5039,2022-04-08,"PSC 7577, Box 6528, APO AE 64873","918 Griffin Viaduct, North Elizabethport, ME 38597",0,0,0,0,1,0,0,normal,0,0,0,Edge/106.0.1091 (Android),Edge,106.0.1091,Android,Java,UTC,1536x864,en-US,1,caab7e517afeb78f4c8bf25b326a2cd6a77ce6cbfaad105cab6dac21d9a960e1
ecomplus_user_03801,hooverjames@example.net,811.630.4074x1784,2024-04-28,"76454 Leon Spring, West Ashleyshire, MH 92011","PSC 0629, Box 7770, APO AA 35141",0,0,0,0,4,0,0,normal,0,0,0,Safari/101.0.6686 (Linux),Safari,101.0.6686,Linux,QuickTime,UTC+5:30,1536x864,en-GB,0,1557b1a1c46160f38f63debddc1d5998313375b3267541e496216e1fee118e21
ecomplus_user_02011,bennettjeff@example.org,766-479-9247x31733,2023-04-12,"912 John Extension Apt. 815, Millerton, AL 38195","938 Jacob Mall, Lake Julieland, UT 79425",0,0,0,0,0,0,0,normal,0,0,0,Firefox/105.0.7512 (Windows 11),Firefox,105.0.7512,Windows 11,,UTC+5:30,1920x1080,es-ES,0,2555184964c3e58d602f2ebc4462303710a6ab99032dbc7fae61c82a8a0d4450
ecomplus_user_03468,gpeck@example.org,001-875-325-0534,2024-08-14,"1286 Shelby Highway Apt. 107, Beckborough, NM 27656","61258 Allen Road, Williamsonstad, MT 94124",0,0,0,0,4,0,0,normal,0,1,0,Safari/87.0.1314 (Linux),Safari,87.0.1314,Linux,Java,UTC+5:30,1920x1080,fr-FR,1,bee63a3f4f901cf7d4098c25201628fa9cbf86a3873e09c262a49f021d87bd03
ecomplus_user_00952,xgonzales@example.net,822-221-0024,2023-05-17,"2667 Evans Terrace, West Michael, AR 25213","66278 Michael Cliff, Branchborough, IA 30583",0,1,0,0,0,0,0,normal,0,0,0,Chrome/97.0.6746 (iOS),Chrome,97.0.6746,iOS,,UTC+5:30,1920x1080,fr-FR,0,24c58383e8d14273e52bea0dfd22d26957a3b81b560112fd489d720874e086d3
ecomplus_user_01516,mwilliams@example.com,757-653-1132,2021-05-31,"219 Eric Bridge, Lake Victoria, GA 67950","48575 Jimmy Drive Apt. 863, Ryanshire, MT 94407",0,0,1,1,1,1,0,normal,0,0,1,Firefox/67.0.1915 (iOS),Firefox,67.0.1915,iOS,PDF Viewer,UTC-3,1280x720,fr-FR,1,0e242ff11f0126f85ae7410a913bc435a7f764dc795133e3e3155cb92acefe36
ecomplus_user_03243,nicolegarza@example.org,001-512-699-3288x8380,2025-03-05,"75808 Robertson Inlet, Port Melissa, MS 42718","16693 Mann Track, Dianaland, LA 42771",0,0,0,0,3,0,0,normal,0,2,0,Opera/107.0.2381 (Windows 11),Opera,107.0.2381,Windows 11,Java,UTC-3,1536x864,en-US,1,61c71a76c64eceeaa7993db75246c049f2493a3d9686fde09d20a035cf1c8260
