User_ID,Email,Phone_Number,Account_Creation_Date,Billing_Address,Shipping_Address,IP_Address_Changed,New_Device,Odd_Time_of_Transaction,Unusual_Cart_Value,Multiple_Failed_OTPs,VPN_Use,First_Time_High_Value_Purchase,Email_Pattern,Shipping_Address_Changed,Previous_Failed_Attempts,Is_Fraud,User_Agent,Browser_Name,Browser_Version,OS,Installed_Plugins,Time_Zone,Screen_Resolution,Language,Do_Not_Track,fingerprint_id
megastore_user_02438,hensonjames@example.org,+1-516-421-2221x3316,2024-11-12,"815 Joseph Port Apt. 486, Powerschester, GA 70348","31216 Schmidt Glens Suite 678, West Daniel, RI 71595",0,0,0,0,3,0,0,normal,0,0,0,Chrome/72.0.5457 (Windows 11),Chrome,72.0.5457,Windows 11,QuickTime,UTC-8,1440x900,en-US,0,22ff4935fed263f69bd73b15ed13212f388f3adc73253d82dc104af8e26926bf
megastore_user_02991,benjamin03@example.org,(924)318-2112,2023-09-07,"5355 Craig Rapids Apt. 930, South Michael, MI 29045","39694 Kimberly Extension, Wilsontown, NC 80851",0,0,0,0,2,0,0,normal,0,1,0,Firefox/65.0.7388 (Windows 10),Firefox,65.0.7388,Windows 10,Java,UTC,1440x900,en-US,1,580a8172a8dc56620006646a7e5cc0c83024aabe9dde494bd9d69eceb18b93c1
megastore_user_04064,gonzalezcatherine@example.net,2749241794,2021-08-27,"62488 Nicole Gateway, Ramoshaven, GU 28497","455 Moore Spring Suite 992, Bridgesmouth, CT 97835",0,0,0,0,0,0,0,normal,0,1,0,Opera/102.0.4694 (iOS),Opera,102.0.4694,iOS,,UTC,1440x900,fr-FR,0,ede5ae472ef6bbfc156f74f35cfae34864db789f49cf22d6b5d27808736889be
megastore_user_03911,coreydixon@example.org,(820)414-2550x74131,2022-07-25,"22214 Maria Spurs Suite 641, South Carlosmouth, VA 53782","38114 Joseph Pike Apt. 540, Port Marc, NY 53728",0,1,1,0,0,0,0,normal,0,1,0,Firefox/110.0.7731 (Windows 10),Firefox,110.0.7731,Windows 10,QuickTime,UTC-3,1280x720,es-ES,1,bf3cb6b3c2ccdacdb3c7512e594e20cd2eea9be2df8b37f563f79854e8dc9fb5
megastore_user_03419,bishopmark@example.com,2328859330,2022-06-22,"538 Kayla Inlet Suite 654, Port Daryl, VI 92796","051 Hall Drives Apt. 395, Bonniemouth, SC 47749",0,0,0,0,2,0,0,normal,0,0,0,Firefox/86.0.2813 (iOS),Firefox,86.0.2813,iOS,QuickTime,UTC,1440x900,fr-FR,0,acbe1410080f130fc0d07b6d59ab9ed44e99948108f78882c4785d59d417c7ab
megastore_user_00661,susan00@example.org,001-965-623-5344x2774,2021-01-18,"4455 Monroe Ford Suite 482, Lake Catherineview, UT 40211","45556 Jackson Squares Suite 806, Websterfort, DE 59432",0,0,0,0,0,0,0,normal,0,0,0,Safari/99.0.6509 (Windows 10),Safari,99.0.6509,Windows 10,Java,UTC+9,1920x1080,fr-FR,0,4f4b0b615cdf1c872a66c3416f715ed3fd7b0b299ae23786bb886d6e7372f6ed
megastore_user_03520,lwilliams@example.net,256.375.6481x93270,2024-11-23,"381 Peter Light Apt. 173, Murrayberg, MN 83728","11698 Smith Ferry Suite 289, West Michael, MA 10843",0,0,0,0,4,0,0,normal,0,0,0,Edge/88.0.3934 (MacOS),Edge,88.0.3934,MacOS,QuickTime,UTC-8,1280x720,en-GB,0,cae76b54915b5254e5e6a26290bf338224dc83d2da1d84f4297adfdbbdfbbc37
megastore_user_02892,atodd@example.com,937.577.9216x33441,2023-12-24,"Unit 5066 Box 0422, DPO AP 86032","77799 Kevin Green, Woodwardborough, MA 78675",0,0,0,1,3,0,0,normal,0,3,1,Firefox/60.0.2918 (MacOS),Firefox,60.0.2918,MacOS,PDF Viewer,UTC+5:30,1440x900,de-DE,1,ade75d095e930d5631673e2c15eda869b4d335829cab6e922897e9001bad21a5
megastore_user_01429,tararamirez@example.org,564.826.9923,2021-10-19,"9932 Fox Road Apt. 551, New Lisaport, MI 98620","054 Heather Mountain Apt. 918, Lake Timothy, VT 83061",0,0,0,0,2,0,0,normal,0,2,0,Firefox/63.0.6402 (Linux),Firefox,63.0.6402,Linux,Java,UTC-3,1920x1080,de-DE,0,ec20593371a4c8cdc2e792af8db33a8768ccc735906e6b6bc91a705a8de416d6
megastore_user_02043,whitenathan@example.net,616-912-2608,2022-08-16,"4918 Ballard Prairie Apt. 699, East Danielle, NJ 79556","79139 Andrew Light, New Jillland, AK 36839",0,0,0,0,0,0,0,normal,0,0,0,Chrome/97.0.8255 (MacOS),Chrome,97.0.8255,MacOS,QuickTime,UTC+9,1920x1080,es-ES,0,88da698988364826179cc3f6a92edcf62d6d4539e9d1ab7a95bfcbce964e2b71
megastore_user_02766,theresabrown@example.net,3127936552,2024-04-01,"62390 Brennan Squares Apt. 675, West Karifort, NH 38087","4594 Juan Turnpike Suite 297, Moorehaven, MP 75395",0,0,1,0,2,0,0,normal,0,1,0,Edge/89.0.4980 (Windows 10),Edge,89.0.4980,Windows 10,Flash,UTC,1366x768,en-GB,1,6c447f3bb800cc08e26c9245f21680be22d0dfd4ab302b17624680554311bd94
megastore_user_03058,richardperez@example.net,001-479-483-0213,2023-08-06,"81562 Bradford Flat Apt. 889, Austinchester, WI 19214","717 Macias Inlet, Randyberg, GU 17038",0,1,0,0,2,0,0,suspicious,0,1,0,Safari/74.0.5596 (Android),Safari,74.0.5596,Android,,UTC-8,1280x720,fr-FR,1,66e9f7ef0dcb47c2263cc4af48b28ef3fc8423a8cccb715b86b5684e0b758de9
megastore_user_01980,gardnerandrea@example.net,(446)358-3404x81622,2020-07-23,"2103 Brent Crescent Apt. 662, Archerbury, ID 58072","PSC 6225, Box 7974, APO AA 04502",0,0,0,0,0,0,0,suspicious,0,2,0,Firefox/96.0.5342 (Android),Firefox,96.0.5342,Android,Java,UTC-3,1920x1080,de-DE,0,4a3394eee70920ff83622db9b89a45ef29daa7360869f3a604f316ee5aa3e3d9
