User_ID,Email,Phone_Number,Account_Creation_Date,Billing_Address,Shipping_Address,IP_Address_Changed,New_Device,Odd_Time_of_Transaction,Unusual_Cart_Value,Multiple_Failed_OTPs,VPN_Use,First_Time_High_Value_Purchase,Email_Pattern,Shipping_Address_Changed,Previous_Failed_Attempts,Is_Fraud,User_Agent,Browser_Name,Browser_Version,OS,Installed_Plugins,Time_Zone,Screen_Resolution,Language,Do_Not_Track,fingerprint_id
shopmax_user_02687,russelljames@example.org,(685)552-0110x444,2025-06-10,"510 Dunn Track Apt. 819, South Matthew, KY 34304","PSC 5208, Box 8913, APO AP 14021",1,0,0,1,4,0,0,normal,0,1,1,Safari/108.0.2943 (Android),Safari,108.0.2943,Android,,UTC+1,1920x1080,es-ES,1,8af5b37d5f4b0b29b0f116911ddaa4e5542a8790c5a7379e3fe824595c217f72
shopmax_user_03382,mooreterry@example.com,499.296.5580x37952,2021-11-29,"12158 Deborah Ford, South Johnville, VI 93069","915 Melvin Fork, Rubioborough, PA 26132",0,0,0,0,2,0,0,normal,0,0,0,Opera/80.0.3797 (MacOS),Opera,80.0.3797,MacOS,QuickTime,UTC,1920x1080,en-US,0,b28cc7bfce84d1f83c621794ba06da5443d4a654fbd0c7a34649961ebc46e910
user_00399,mendezjoseph@example.net,532.389.5039,2022-04-08,"PSC 7577, Box 6528, APO AE 64873","918 Griffin Viaduct, North Elizabethport, ME 38597",0,0,0,0,4,0,0,normal,1,3,1,Firefox/75.0.2098 (Linux),Firefox,75.0.2098,Linux,,UTC+9,1536x864,en-GB,0,4f7afd2ade9e55ce36d9a804b584687559aa69cd79d3ac2a0614e29c00b51894
shopmax_user_01520,daltondavis@example.org,397-630-9748,2022-04-11,"59791 Emily Knolls Suite 772, Mahoneyburgh, PA 79025","40465 Laurie Dale Suite 038, South Brian, LA 63421",0,0,0,0,0,0,0,normal,1,2,0,Safari/61.0.9205 (MacOS),Safari,61.0.9205,MacOS,Java,UTC+9,1366x768,es-ES,1,73e5404edeffb0d506b326409c44441759b27463c71055070d3973523357278a
shopmax_user_02161,heather92@example.com,328.651.1466x54145,2024-08-19,"578 Javier Glens, Lake Williamburgh, ME 38518","13283 Cameron Harbor, Charlestown, MO 31383",0,0,0,1,1,0,0,normal,0,0,0,Chrome/80.0.5855 (Linux),Chrome,80.0.5855,Linux,Flash,UTC-3,1440x900,fr-FR,1,ebe6d990401653cbae8d759c3b1a9492c3d10295204a2c751b61b9de8be858eb
shopmax_user_03774,matthew39@example.com,001-929-930-4123x9106,2022-03-28,"41173 Wood Ports, Jessehaven, AZ 79839","USS Robinson, FPO AP 99671",0,0,0,0,4,0,0,normal,0,0,0,Edge/66.0.5500 (Windows 10),Edge,66.0.5500,Windows 10,PDF Viewer,UTC+9,1366x768,es-ES,1,266db4f0884dbf32d29da6ebd38de22ed32ed50b9e1910db8673e74603c52997
shopmax_user_01089,woodsamuel@example.org,(838)257-6018x89450,2024-06-06,"60342 Angie Points Suite 586, Clarkfurt, MO 60009","6758 Waters Vista Suite 241, West James, MS 25111",0,0,0,0,3,0,0,normal,0,3,0,Safari/83.0.2037 (MacOS),Safari,83.0.2037,MacOS,Java,UTC+1,1920x1080,es-ES,0,e78c3941d86acc5977dfad793a3efaf191388e25f8dc7e994290632ce1b91d54
shopmax_user_02693,jeffreymills@example.com,001-975-405-9242x3948,2022-10-12,"4188 Michael Drive Suite 589, Heatherborough, AR 02827","55988 Perkins Valley, West Kara, WV 46841",1,0,0,1,1,0,0,normal,0,2,1,Opera/87.0.7292 (Windows 10),Opera,87.0.7292,Windows 10,Flash,UTC-3,1366x768,en-GB,0,0be623c92265d8acf42724a01f45627b22ee893c3f2b5d5dc245fe74234bacf1
shopmax_user_02646,kayla41@example.org,571-297-2139x181,2024-12-04,"18296 Sheila Centers Apt. 506, Fisherburgh, MO 72064","90399 Wright Mountain Suite 138, Lake Melissa, FM 02827",0,1,0,0,2,0,0,normal,0,3,0,Chrome/84.0.4688 (iOS),Chrome,84.0.4688,iOS,Java,UTC+1,1536x864,es-ES,1,4c0cfec89149cffa8af38d61d09dbf6755995dd20a04afee4dd23090968a6fa7
shopmax_user_02608,riverakimberly@example.net,372-491-6167x247,2024-03-14,"PSC 0822, Box 3863, APO AP 99552","380 Jessica Stream Suite 061, Shawnmouth, AR 02574",0,1,1,0,4,0,0,normal,1,1,1,Safari/61.0.7081 (Windows 10),Safari,61.0.7081,Windows 10,Java,UTC-3,1440x900,es-ES,1,c3d2e1971ec3d0fa708c1d602e63dd9e9c5fc59f20b199ec0b58a1b80ef8a646
